 Nutrdesc, Units, Nutr_no, "Xml Element"
"Carbohydrate, by difference", g,205, carbohydrates-carbs_by_diff
"Fiber, total dietary", g,291, carbohydrates-fiber
Energy, kcal,208, energy-gross
Cholesterol, mg,601, fats-cholesterol
22:6 n-3 (DHA), g,621, fats-dha
20:5 n-3 (EPA), g,629, fats-epa
"12:0 lauric", g, 611, fats-lauric
18:2 undifferentiated, g,618, fats-linoleic
18:3 undifferentiated, g,619, fats-linolenic
"Fatty acids, total monounsaturated", g,645, fats-monounsaturated
"14:0 myristic", g, 612, fats-myristic
"16:0 palmitic", g, 613, fats-palmitic
"Fatty acids, total polyunsaturated", g,646, fats-polyunsaturated
"Fatty acids, total saturated", g,606, fats-saturated
"18:0 stearic", g, 614, fats-stearic
Total lipid (Fat), g,204, fats-total
"Calcium, Ca", mg,301, minerals-calcium
"Copper, Cu", mg,312, minerals-copper
"Iron, Fe", mg,303, minerals-iron
"Magnesium, Mg", mg,304, minerals-magnesium
"Manganese, Mn", mg,315, minerals-manganese
"Phosphorus, P", mg,305, minerals-phosphorus
"Potassium, K", mg,306, minerals-potassium
"Selenium, Se", µg,317, minerals-selenium
"Sodium, Na", mg,307, minerals-sodium
"Zinc, Zn", mg,309, minerals-zinc
"Alcohol, ethyl", g,221, other-alcohol
Water, g,255, other-water
Protein, g,203, protein-total
"Choline, total", mg,421, vitamins-choline
"Folate, DFE", µg,435, vitamins-folate
Niacin, mg,406, vitamins-niacin
Pantothenic acid, mg,410, vitamins-pantothenic_acid
Riboflavin, mg,405, vitamins-riboflavin
Thiamin, mg,404, vitamins-thiamin
"Vitamin A, RAE", µg,320, vitamins-vitamin_a
Vitamin B-12, µg,418, vitamins-vitamin_b12
Vitamin B-6, mg,415, vitamins-vitamin_b6
"Vitamin C, total (Ascorbic Acid)", mg,401, vitamins-vitamin_c
Vitamin D (D2 + D3), µg,328, vitamins-vitamin_d
Vitamin E (Alpha-Tocopherol), mg,323, vitamins-vitamin_e
Vitamin K (Phylloquinone), µg,430, vitamins-vitamin_k
